ISBN,integer_isbn,Title,Author,YearOfPublication,Publisher,ImageURLS,ImageURLM,ImageURLL
0609804138,101,the sweet potato queens' book of love,jill conner browne,1999,three rivers press,http://images.amazon.com/images/P/0609804138.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804138.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804138.01.LZZZZZZZ.jpg
068484267X,102,angela's ashes: a memoir,frank mccourt,1999,scribner,http://images.amazon.com/images/P/068484267X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg
0743237188,103,fall on your knees (oprah #45),ann-marie macdonald,2002,touchstone,http://images.amazon.com/images/P/0743237188.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743237188.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743237188.01.LZZZZZZZ.jpg
0842329129,104,left behind: a novel of the earth's last days (left behind no. 1),tim lahaye,1996,tyndale house publishers,http://images.amazon.com/images/P/0842329129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329129.01.LZZZZZZZ.jpg
0971880107,105,wild animus,rich shapero,2004,too far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
0345342968,106,fahrenheit 451,ray bradbury,1987,del rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg
0385335881,107,shopaholic takes manhattan (summer display opportunity),sophie kinsella,2002,delta,http://images.amazon.com/images/P/0385335881.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335881.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335881.01.LZZZZZZZ.jpg
044651652X,108,the bridges of madison county,robert james waller,1992,warner books,http://images.amazon.com/images/P/044651652X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044651652X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044651652X.01.LZZZZZZZ.jpg
0345351525,109,the queen of the damned (vampire chronicles (paperback)),anne rice,1993,ballantine books,http://images.amazon.com/images/P/0345351525.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345351525.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345351525.01.LZZZZZZZ.jpg
0385492081,110,into thin air : a personal account of the mt. everest disaster,jon krakauer,1998,anchor,http://images.amazon.com/images/P/0385492081.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385492081.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385492081.01.LZZZZZZZ.jpg
0553250426,111,the clan of the cave bear (earth's children (paperback)),jean m. auel,1984,bantam books,http://images.amazon.com/images/P/0553250426.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553250426.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553250426.01.LZZZZZZZ.jpg
0553280368,112,c is for corpse (kinsey millhone mysteries (paperback)),sue grafton,1987,bantam,http://images.amazon.com/images/P/0553280368.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280368.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280368.01.LZZZZZZZ.jpg
0679746048,113,"girl, interrupted",susanna kaysen,1994,vintage,http://images.amazon.com/images/P/0679746048.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679746048.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679746048.01.LZZZZZZZ.jpg
0060987529,114,confessions of an ugly stepsister : a novel,gregory maguire,2000,regan books,http://images.amazon.com/images/P/0060987529.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060987529.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060987529.01.LZZZZZZZ.jpg
0312990456,115,one for the money (a stephanie plum novel),janet evanovich,2003,st. martin's paperbacks,http://images.amazon.com/images/P/0312990456.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.LZZZZZZZ.jpg
0375700757,116,cold mountain : a novel,charles frazier,1998,vintage,http://images.amazon.com/images/P/0375700757.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375700757.01.LZZZZZZZ.jpg
044022165X,117,the rainmaker,john grisham,1996,dell,http://images.amazon.com/images/P/044022165X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044022165X.01.LZZZZZZZ.jpg
0440241073,118,the summons,john grisham,2002,dell publishing company,http://images.amazon.com/images/P/0440241073.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.LZZZZZZZ.jpg
0805063897,119,nickel and dimed: on (not) getting by in america,barbara ehrenreich,2002,owl books,http://images.amazon.com/images/P/0805063897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg
0345339703,120,"the fellowship of the ring (the lord of the rings, part 1)",j.r.r. tolkien,1986,del rey,http://images.amazon.com/images/P/0345339703.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg
0345439104,121,drowning ruth (oprah's book club),christina schwarz,2001,ballantine books,http://images.amazon.com/images/P/0345439104.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345439104.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345439104.01.LZZZZZZZ.jpg
0380002930,122,watership down,richard adams,1976,avon,http://images.amazon.com/images/P/0380002930.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380002930.01.LZZZZZZZ.jpg
0440222656,123,the horse whisperer,nicholas evans,1996,dell,http://images.amazon.com/images/P/0440222656.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440222656.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440222656.01.LZZZZZZZ.jpg
0446532231,124,"dude, where's my country?",michael moore,2003,warner books,http://images.amazon.com/images/P/0446532231.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446532231.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446532231.01.LZZZZZZZ.jpg
0451167317,125,the dark half,stephen king,1994,signet book,http://images.amazon.com/images/P/0451167317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451167317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451167317.01.LZZZZZZZ.jpg
0671510053,126,shipping news,annie proulx,1994,scribner,http://images.amazon.com/images/P/0671510053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg
1558743669,127,"""a child called \it"""": one child's courage to survive""""""",dave pelzer,1995,health communications,http://images.amazon.com/images/P/1558743669.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg
0440498058,128,a wrinkle in time,madeleine l'engle,1998,yearling,http://images.amazon.com/images/P/0440498058.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440498058.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440498058.01.LZZZZZZZ.jpg
0446612790,129,2nd chance,james patterson,2003,warner vision,http://images.amazon.com/images/P/0446612790.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446612790.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446612790.01.LZZZZZZZ.jpg
0451526341,130,animal farm,george orwell,2004,signet,http://images.amazon.com/images/P/0451526341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg
0553279556,131,e is for evidence: a kinsey millhone mystery (kinsey millhone mysteries (paperback)),sue grafton,1989,bantam,http://images.amazon.com/images/P/0553279556.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553279556.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553279556.01.LZZZZZZZ.jpg
0553572997,132,the alienist,caleb carr,1995,bantam books,http://images.amazon.com/images/P/0553572997.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553572997.01.LZZZZZZZ.jpg
0671041789,133,the green mile,stephen king,1999,pocket,http://images.amazon.com/images/P/0671041789.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671041789.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671041789.01.LZZZZZZZ.jpg
0684874350,134,angela's ashes,frank mccourt,1996,scribner,http://images.amazon.com/images/P/0684874350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684874350.01.LZZZZZZZ.jpg
0060977493,135,the god of small things,arundhati roy,1998,perennial,http://images.amazon.com/images/P/0060977493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg
0312265867,136,to the nines: a stephanie plum novel,janet evanovich,2003,st. martin's press,http://images.amazon.com/images/P/0312265867.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312265867.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312265867.01.LZZZZZZZ.jpg
0312983867,137,hard eight : a stephanie plum novel (a stephanie plum novel),janet evanovich,2003,st. martin's paperbacks,http://images.amazon.com/images/P/0312983867.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312983867.01.LZZZZZZZ.jpg
0345353145,138,sphere,michael crichton,1988,ballantine books,http://images.amazon.com/images/P/0345353145.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345353145.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345353145.01.LZZZZZZZ.jpg
0375725784,139,a heartbreaking work of staggering genius,dave eggers,2001,vintage books usa,http://images.amazon.com/images/P/0375725784.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.LZZZZZZZ.jpg
0440212561,140,outlander,diana gabaldon,1992,dell,http://images.amazon.com/images/P/0440212561.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440212561.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440212561.01.LZZZZZZZ.jpg
0446364193,141,along came a spider (alex cross novels),james patterson,1993,warner books,http://images.amazon.com/images/P/0446364193.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg
0446601241,142,kiss the girls,james patterson,1995,warner books,http://images.amazon.com/images/P/0446601241.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446601241.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446601241.01.LZZZZZZZ.jpg
0451184963,143,insomnia,stephen king,1995,signet book,http://images.amazon.com/images/P/0451184963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451184963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451184963.01.LZZZZZZZ.jpg
0684801523,144,the great gatsby,f. scott fitzgerald,1995,scribner,http://images.amazon.com/images/P/0684801523.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684801523.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684801523.01.LZZZZZZZ.jpg
0804114986,145,the bonesetter's daughter,amy tan,2002,ballantine books,http://images.amazon.com/images/P/0804114986.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804114986.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804114986.01.LZZZZZZZ.jpg
0812550706,146,ender's game (ender wiggins saga (paperback)),orson scott card,1994,tor books,http://images.amazon.com/images/P/0812550706.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812550706.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812550706.01.LZZZZZZZ.jpg
0345438329,147,big stone gap: a novel (ballantine reader's circle),adriana trigiani,2001,ballantine books,http://images.amazon.com/images/P/0345438329.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.LZZZZZZZ.jpg
0380789035,148,american gods,neil gaiman,2002,harpertorch,http://images.amazon.com/images/P/0380789035.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380789035.01.LZZZZZZZ.jpg
038550120X,149,a painted house,john grisham,2001,doubleday,http://images.amazon.com/images/P/038550120X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038550120X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038550120X.01.LZZZZZZZ.jpg
0425147622,150,the body farm,patricia daniels cornwell,1995,berkley publishing group,http://images.amazon.com/images/P/0425147622.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425147622.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425147622.01.LZZZZZZZ.jpg
0446607657,151,when the wind blows,james patterson,1999,warner vision,http://images.amazon.com/images/P/0446607657.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446607657.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446607657.01.LZZZZZZZ.jpg
0449219364,152,g is for gumshoe (kinsey millhone mysteries (paperback)),sue grafton,1991,fawcett books,http://images.amazon.com/images/P/0449219364.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449219364.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449219364.01.LZZZZZZZ.jpg
0451176464,153,gerald's game,stephen king,2001,signet book,http://images.amazon.com/images/P/0451176464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451176464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451176464.01.LZZZZZZZ.jpg
0553250531,154,the valley of horses,jean m. auel,1984,bantam,http://images.amazon.com/images/P/0553250531.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553250531.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553250531.01.LZZZZZZZ.jpg
0553296981,155,anne frank: the diary of a young girl,anne frank,1993,bantam,http://images.amazon.com/images/P/0553296981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553296981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553296981.01.LZZZZZZZ.jpg
0679429220,156,midnight in the garden of good and evil: a savannah story,john berendt,1994,random house,http://images.amazon.com/images/P/0679429220.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg
0743227441,157,the other boleyn girl,philippa gregory,2002,touchstone,http://images.amazon.com/images/P/0743227441.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743227441.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743227441.01.LZZZZZZZ.jpg
1573229326,158,how to be good,nick hornby,2002,riverhead books,http://images.amazon.com/images/P/1573229326.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573229326.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573229326.01.LZZZZZZZ.jpg
0312983271,159,full house (janet evanovich's full series),janet evanovich,2002,st. martin's paperbacks,http://images.amazon.com/images/P/0312983271.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312983271.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312983271.01.LZZZZZZZ.jpg
0345387651,160,the cider house rules,john irving,1994,ballantine books,http://images.amazon.com/images/P/0345387651.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345387651.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345387651.01.LZZZZZZZ.jpg
0385511612,161,bleachers,john grisham,2003,doubleday,http://images.amazon.com/images/P/0385511612.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg
0425169863,162,point of origin,patricia daniels cornwell,1999,berkley publishing group,http://images.amazon.com/images/P/0425169863.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425169863.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425169863.01.LZZZZZZZ.jpg
0439136369,163,harry potter and the prisoner of azkaban (book 3),j. k. rowling,2001,scholastic,http://images.amazon.com/images/P/0439136369.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439136369.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439136369.01.LZZZZZZZ.jpg
0440998050,164,a wrinkle in time,madeleine l'engle,1976,laure leaf,http://images.amazon.com/images/P/0440998050.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440998050.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440998050.01.LZZZZZZZ.jpg
0449005615,165,seabiscuit: an american legend,laura hillenbrand,2002,ballantine books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
0451156609,166,the tommyknockers,stephen king,1994,signet book,http://images.amazon.com/images/P/0451156609.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451156609.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451156609.01.LZZZZZZZ.jpg
0451524934,167,1984,george orwell,1990,signet book,http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
0515131229,168,dance upon the air (three sisters island trilogy),nora roberts,2003,jove books,http://images.amazon.com/images/P/0515131229.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515131229.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515131229.01.LZZZZZZZ.jpg
0553268880,169,the prince of tides,pat conroy,1987,bantam books,http://images.amazon.com/images/P/0553268880.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553268880.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553268880.01.LZZZZZZZ.jpg
0553284789,170,f is for fugitive (kinsey millhone mysteries (paperback)),sue grafton,1990,bantam,http://images.amazon.com/images/P/0553284789.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553284789.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553284789.01.LZZZZZZZ.jpg
0684872153,171,angela's ashes (mmp) : a memoir,frank mccourt,1999,scribner,http://images.amazon.com/images/P/0684872153.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684872153.01.LZZZZZZZ.jpg
0316899984,172,"river, cross my heart",breena clarke,1999,little brown &amp; company,http://images.amazon.com/images/P/0316899984.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316899984.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316899984.01.LZZZZZZZ.jpg
0345339738,173,"the return of the king (the lord of the rings, part 3)",j.r.r. tolkien,1986,del rey,http://images.amazon.com/images/P/0345339738.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339738.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339738.01.LZZZZZZZ.jpg
0345378490,174,congo,michael crichton,1995,ballantine books,http://images.amazon.com/images/P/0345378490.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg
0345384466,175,the witching hour (lives of the mayfair witches),anne rice,1993,ballantine books,http://images.amazon.com/images/P/0345384466.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345384466.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345384466.01.LZZZZZZZ.jpg
0345417623,176,timeline,michael crichton,2000,ballantine books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
0375703055,177,ellen foster,kaye gibbons,1997,vintage books,http://images.amazon.com/images/P/0375703055.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375703055.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375703055.01.LZZZZZZZ.jpg
0425154092,178,from potter's field,patricia daniels cornwell,1996,berkley publishing group,http://images.amazon.com/images/P/0425154092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425154092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425154092.01.LZZZZZZZ.jpg
0425162443,179,the rapture of canaan,sheri reynolds,1997,berkley publishing group,http://images.amazon.com/images/P/0425162443.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425162443.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425162443.01.LZZZZZZZ.jpg
0425163407,180,unnatural exposure,patricia daniels cornwell,1998,berkley publishing group,http://images.amazon.com/images/P/0425163407.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425163407.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425163407.01.LZZZZZZZ.jpg
0440224675,181,hannibal,thomas harris,2000,dell publishing company,http://images.amazon.com/images/P/0440224675.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224675.01.LZZZZZZZ.jpg
0446606189,182,cat &amp; mouse (alex cross novels),james patterson,1998,warner books,http://images.amazon.com/images/P/0446606189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446606189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446606189.01.LZZZZZZZ.jpg
0449219461,183,h is for homicide (kinsey millhone mysteries (paperback)),sue grafton,1993,fawcett books,http://images.amazon.com/images/P/0449219461.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449219461.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449219461.01.LZZZZZZZ.jpg
0451172817,184,needful things,stephen king,2004,signet book,http://images.amazon.com/images/P/0451172817.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451172817.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451172817.01.LZZZZZZZ.jpg
067102423X,185,bag of bones,stephen king,1999,pocket,http://images.amazon.com/images/P/067102423X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067102423X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067102423X.01.LZZZZZZZ.jpg
0767902521,186,a walk in the woods: rediscovering america on the appalachian trail (official guides to the appalachian trail),bill bryson,1999,broadway books,http://images.amazon.com/images/P/0767902521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767902521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767902521.01.LZZZZZZZ.jpg
080411109X,187,the hundred secret senses,amy tan,1996,ivy books,http://images.amazon.com/images/P/080411109X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080411109X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080411109X.01.LZZZZZZZ.jpg
0141000198,188,bridget jones's diary,helen fielding,2001,penguin putnam,http://images.amazon.com/images/P/0141000198.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0141000198.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0141000198.01.LZZZZZZZ.jpg
0312291639,189,the nanny diaries: a novel,emma mclaughlin,2003,st. martin's griffin,http://images.amazon.com/images/P/0312291639.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312291639.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312291639.01.LZZZZZZZ.jpg
0345350499,190,the mists of avalon,marion zimmer bradley,1987,del rey,http://images.amazon.com/images/P/0345350499.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345350499.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345350499.01.LZZZZZZZ.jpg
0380731851,191,mystic river,dennis lehane,2002,harpertorch,http://images.amazon.com/images/P/0380731851.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380731851.01.LZZZZZZZ.jpg
0425167313,192,here on earth,alice hoffman,1998,berkley publishing group,http://images.amazon.com/images/P/0425167313.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425167313.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425167313.01.LZZZZZZZ.jpg
0440235596,193,tara road,maeve binchy,2000,dell publishing company,http://images.amazon.com/images/P/0440235596.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440235596.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440235596.01.LZZZZZZZ.jpg
0446605484,194,roses are red (alex cross novels),james patterson,2001,warner vision,http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg
0446610399,195,the rescue,nicholas sparks,2001,warner books,http://images.amazon.com/images/P/0446610399.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610399.01.LZZZZZZZ.jpg
0451160525,196,"the gunslinger (the dark tower, book 1)",stephen king,1994,new american library,http://images.amazon.com/images/P/0451160525.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451160525.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451160525.01.LZZZZZZZ.jpg
0451169530,197,the stand: complete and uncut,stephen king,1991,signet book,http://images.amazon.com/images/P/0451169530.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451169530.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451169530.01.LZZZZZZZ.jpg
0553271636,198,d is for deadbeat (kinsey millhone mysteries (paperback)),sue grafton,1988,bantam,http://images.amazon.com/images/P/0553271636.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553271636.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553271636.01.LZZZZZZZ.jpg
0670892963,199,bridget jones : the edge of reason,helen fielding,2000,viking books,http://images.amazon.com/images/P/0670892963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670892963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670892963.01.LZZZZZZZ.jpg
0671038184,200,jewel,bret lott,1999,washington square press,http://images.amazon.com/images/P/0671038184.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671038184.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671038184.01.LZZZZZZZ.jpg
0679745203,201,the english patient,michael ondaatje,1996,vintage books usa,http://images.amazon.com/images/P/0679745203.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679745203.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679745203.01.LZZZZZZZ.jpg
